Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays
Israel TA-125,ILS,Israel,1993-09-07,221.5,,,,,,,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-09-08,227.06,0.025101580135440192,0.0,,,,,Wednesday,0,0,0
Israel TA-125,ILS,Israel,1993-09-09,226.77,-0.0012771954549457942,0.025101580135440192,0.0,,,,Thursday,0,0,0
Israel TA-125,ILS,Israel,1993-09-12,226.77,0.0,-0.0012771954549457942,0.025101580135440192,0.0,,,Sunday,0,0,0
Israel TA-125,ILS,Israel,1993-09-13,222.17,-0.020284870132733706,0.0,-0.0012771954549457942,0.025101580135440192,0.0,,Monday,0,0,0
Israel TA-125,ILS,Israel,1993-09-14,226.49,0.01944456947382645,-0.020284870132733706,0.0,-0.0012771954549457942,0.025101580135440192,0.0,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-09-19,226.49,0.0,0.01944456947382645,-0.020284870132733706,0.0,-0.0012771954549457942,0.025101580135440192,Sunday,0,0,0
Israel TA-125,ILS,Israel,1993-09-20,229.84,0.01479093999735085,0.0,0.01944456947382645,-0.020284870132733706,0.0,-0.0012771954549457942,Monday,0,1,0
Israel TA-125,ILS,Israel,1993-09-21,227.03,-0.01222589627567004,0.01479093999735085,0.0,0.01944456947382645,-0.020284870132733706,0.0,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-09-22,227.61,0.0025547284499846386,-0.01222589627567004,0.01479093999735085,0.0,0.01944456947382645,-0.020284870132733706,Wednesday,0,0,1
Israel TA-125,ILS,Israel,1993-09-23,232.39,0.021000834761214237,0.0025547284499846386,-0.01222589627567004,0.01479093999735085,0.0,0.01944456947382645,Thursday,0,0,2
Israel TA-125,ILS,Israel,1993-09-26,232.39,0.0,0.021000834761214237,0.0025547284499846386,-0.01222589627567004,0.01479093999735085,0.0,Sunday,0,0,0
Israel TA-125,ILS,Israel,1993-09-27,231.25,-0.004905546710271468,0.0,0.021000834761214237,0.0025547284499846386,-0.01222589627567004,0.01479093999735085,Monday,0,0,0
Israel TA-125,ILS,Israel,1993-09-28,229.61,-0.007091891891891833,-0.004905546710271468,0.0,0.021000834761214237,0.0025547284499846386,-0.01222589627567004,Tuesday,0,1,0
Israel TA-125,ILS,Israel,1993-10-03,229.61,0.0,-0.007091891891891833,-0.004905546710271468,0.0,0.021000834761214237,0.0025547284499846386,Sunday,0,1,0
Israel TA-125,ILS,Israel,1993-10-04,229.16,-0.0019598449544881193,0.0,-0.007091891891891833,-0.004905546710271468,0.0,0.021000834761214237,Monday,0,0,0
Israel TA-125,ILS,Israel,1993-10-05,232.6,0.015011345784604634,-0.0019598449544881193,0.0,-0.007091891891891833,-0.004905546710271468,0.0,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-10,232.6,0.0,0.015011345784604634,-0.0019598449544881193,0.0,-0.007091891891891833,-0.004905546710271468,Sunday,0,1,0
Israel TA-125,ILS,Israel,1993-10-11,239.52,0.029750644883920964,0.0,0.015011345784604634,-0.0019598449544881193,0.0,-0.007091891891891833,Monday,0,0,0
Israel TA-125,ILS,Israel,1993-10-12,239.75,0.0009602538410153213,0.029750644883920964,0.0,0.015011345784604634,-0.0019598449544881193,0.0,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-13,239.57,-0.0007507820646507062,0.0009602538410153213,0.029750644883920964,0.0,0.015011345784604634,-0.0019598449544881193,Wednesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-14,235.58,-0.01665483992152599,-0.0007507820646507062,0.0009602538410153213,0.029750644883920964,0.0,0.015011345784604634,Thursday,0,0,0
Israel TA-125,ILS,Israel,1993-10-17,235.58,0.0,-0.01665483992152599,-0.0007507820646507062,0.0009602538410153213,0.029750644883920964,0.0,Sunday,0,0,0
Israel TA-125,ILS,Israel,1993-10-18,236.18,0.002546905509805562,0.0,-0.01665483992152599,-0.0007507820646507062,0.0009602538410153213,0.029750644883920964,Monday,0,0,0
Israel TA-125,ILS,Israel,1993-10-19,238.05,0.007917689897535796,0.002546905509805562,0.0,-0.01665483992152599,-0.0007507820646507062,0.0009602538410153213,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-20,236.32,-0.007267380802352523,0.007917689897535796,0.002546905509805562,0.0,-0.01665483992152599,-0.0007507820646507062,Wednesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-21,232.39,-0.016629993229519326,-0.007267380802352523,0.007917689897535796,0.002546905509805562,0.0,-0.01665483992152599,Thursday,0,0,0
Israel TA-125,ILS,Israel,1993-10-24,232.39,0.0,-0.016629993229519326,-0.007267380802352523,0.007917689897535796,0.002546905509805562,0.0,Sunday,0,0,0
Israel TA-125,ILS,Israel,1993-10-25,231.16,-0.005292826713713971,0.0,-0.016629993229519326,-0.007267380802352523,0.007917689897535796,0.002546905509805562,Monday,0,0,0
Israel TA-125,ILS,Israel,1993-10-26,230.62,-0.0023360442983214745,-0.005292826713713971,0.0,-0.016629993229519326,-0.007267380802352523,0.007917689897535796,Tuesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-27,234.22,0.015610094527794615,-0.0023360442983214745,-0.005292826713713971,0.0,-0.016629993229519326,-0.007267380802352523,Wednesday,0,0,0
Israel TA-125,ILS,Israel,1993-10-28,237.25,0.012936555375288195,0.015610094527794615,-0.0023360442983214745,-0.005292826713713971,0.0,-0.016629993229519326,Thursday,0,0,0
