Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,10/11/1993 00:00,254.45,0.00434182,-0.001694381,0.01487643,0,0.032580419,0.014069763,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,11/11/1993 00:00,251.34,-0.012222441,0.00434182,-0.001694381,0.01487643,0,0.032580419,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,14/11/1993 00:00,251.34,0,-0.012222441,0.00434182,-0.001694381,0.01487643,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,15/11/1993 00:00,250.06,-0.005092703,0,-0.012222441,0.00434182,-0.001694381,0.01487643,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,16/11/1993 00:00,251.52,0.005838599,-0.005092703,0,-0.012222441,0.00434182,-0.001694381,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,17/11/1993 00:00,249.6,-0.007633588,0.005838599,-0.005092703,0,-0.012222441,0.00434182,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,18/11/1993 00:00,247.86,-0.006971154,-0.007633588,0.005838599,-0.005092703,0,-0.012222441,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,21/11/1993 00:00,247.86,0,-0.006971154,-0.007633588,0.005838599,-0.005092703,0,Sunday,0,0,0,-1,,,,,
Israel TA-125,ILS,Israel,22/11/1993 00:00,250.69,0.011417736,0,-0.006971154,-0.007633588,0.005838599,-0.005092703,Monday,0,0,1,1,,,,,
Israel TA-125,ILS,Israel,23/11/1993 00:00,248.2,-0.009932586,0.011417736,0,-0.006971154,-0.007633588,0.005838599,Tuesday,0,0,2,2,,,,,
Israel TA-125,ILS,Israel,24/11/1993 00:00,249.16,0.003867849,-0.009932586,0.011417736,0,-0.006971154,-0.007633588,Wednesday,0,0,3,3,,,,,
Israel TA-125,ILS,Israel,25/11/1993 00:00,247.76,-0.005618879,0.003867849,-0.009932586,0.011417736,0,-0.006971154,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,28/11/1993 00:00,247.76,0,-0.005618879,0.003867849,-0.009932586,0.011417736,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,29/11/1993 00:00,239.61,-0.032894737,0,-0.005618879,0.003867849,-0.009932586,0.011417736,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,30/11/1993 00:00,240.91,0.005425483,-0.032894737,0,-0.005618879,0.003867849,-0.009932586,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,01/12/1993 00:00,236.28,-0.019218795,0.005425483,-0.032894737,0,-0.005618879,0.003867849,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,02/12/1993 00:00,237.2,0.003893685,-0.019218795,0.005425483,-0.032894737,0,-0.005618879,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,05/12/1993 00:00,237.2,0,0.003893685,-0.019218795,0.005425483,-0.032894737,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,06/12/1993 00:00,241.77,0.019266442,0,0.003893685,-0.019218795,0.005425483,-0.032894737,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,07/12/1993 00:00,239.61,-0.008934111,0.019266442,0,0.003893685,-0.019218795,0.005425483,Tuesday,0,0,0,0,,,,,
