"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2013","8,901.0","8,857.3","8,901.2","8,832.4","","0.30%"
"03/01/2013","8,874.2","8,827.8","8,881.1","8,779.8","","0.06%"
"02/28/2013","8,868.7","8,868.6","8,920.0","8,861.3","","-0.07%"
"02/27/2013","8,875.3","8,757.2","8,890.0","8,751.4","","1.24%"
"02/26/2013","8,766.2","8,751.2","8,779.1","8,700.7","","0.54%"
"02/25/2013","8,719.4","8,925.8","8,947.8","8,719.1","","-1.97%"
"02/22/2013","8,894.6","8,833.6","8,894.7","8,833.6","","0.96%"
"02/21/2013","8,810.3","8,852.7","8,852.7","8,778.0","","-0.83%"
"02/20/2013","8,883.6","8,992.0","8,992.9","8,879.9","","-1.34%"
"02/19/2013","9,004.4","8,947.3","9,004.4","8,947.3","","0.80%"
"02/15/2013","8,933.2","8,949.9","8,959.8","8,905.2","","-0.22%"
"02/14/2013","8,953.1","8,927.5","8,962.0","8,912.4","","-0.03%"
"02/13/2013","8,955.6","8,962.1","8,980.5","8,934.4","","-0.02%"
"02/12/2013","8,957.6","8,919.0","8,970.9","8,918.7","","0.43%"
"02/11/2013","8,919.0","8,922.6","8,926.0","8,898.5","","-0.18%"
"02/08/2013","8,935.2","8,905.6","8,937.0","8,905.6","","0.47%"
"02/07/2013","8,893.8","8,928.5","8,931.6","8,843.8","","-0.45%"
"02/06/2013","8,934.2","8,890.9","8,934.3","8,876.8","","0.16%"
"02/05/2013","8,920.1","8,883.9","8,938.6","8,883.9","","0.76%"
"02/04/2013","8,852.8","8,910.0","8,910.0","8,848.1","","-1.25%"
"02/01/2013","8,965.1","8,931.5","8,970.3","8,920.0","","0.92%"
"01/31/2013","8,883.8","8,896.9","8,910.7","8,873.0","","-0.23%"
"01/30/2013","8,904.3","8,930.8","8,944.3","8,895.5","","-0.35%"
"01/29/2013","8,935.6","8,883.5","8,941.1","8,882.9","","0.63%"
"01/28/2013","8,880.0","8,911.7","8,911.7","8,858.2","","-0.28%"
"01/25/2013","8,904.5","8,882.5","8,904.6","8,860.8","","0.54%"
"01/24/2013","8,856.6","8,834.2","8,890.7","8,833.4","","0.32%"
"01/23/2013","8,828.7","8,824.2","8,834.9","8,801.9","","-0.05%"
"01/22/2013","8,832.8","8,784.8","8,832.9","8,765.8","","0.46%"
"01/18/2013","8,792.6","8,767.8","8,792.6","8,738.7","","0.30%"
"01/17/2013","8,766.5","8,735.3","8,787.5","8,732.8","","0.64%"
"01/16/2013","8,710.6","8,701.2","8,716.4","8,685.7","","-0.26%"
"01/15/2013","8,733.1","8,689.2","8,737.0","8,671.1","","0.18%"
"01/14/2013","8,717.5","8,715.2","8,721.9","8,688.6","","0.06%"
"01/11/2013","8,712.4","8,714.7","8,716.1","8,684.8","","-0.02%"
"01/10/2013","8,713.8","8,676.6","8,717.0","8,656.2","","0.90%"
"01/09/2013","8,636.1","8,624.0","8,653.1","8,618.7","","0.37%"
"01/08/2013","8,604.4","8,619.1","8,620.1","8,573.3","","-0.38%"
"01/07/2013","8,636.9","8,637.1","8,642.0","8,608.7","","-0.36%"
"01/04/2013","8,667.7","8,611.5","8,674.5","8,606.5","","0.70%"
"01/03/2013","8,607.8","8,615.7","8,647.6","8,588.5","","-0.28%"
"01/02/2013","8,632.0","8,571.5","8,632.0","8,571.1","","2.23%"
"12/31/2012","8,443.5","8,302.1","8,447.3","8,298.4","","1.53%"
"12/28/2012","8,316.2","8,359.3","8,380.7","8,311.3","","-1.00%"
"12/27/2012","8,399.8","8,407.1","8,427.0","8,317.5","","0.05%"
"12/26/2012","8,395.5","8,431.2","8,443.3","8,383.7","","-0.30%"
"12/24/2012","8,420.5","8,427.6","8,428.0","8,409.1","","-0.27%"
"12/21/2012","8,443.2","8,442.4","8,457.6","8,402.7","","-0.86%"
"12/20/2012","8,516.4","8,463.8","8,516.5","8,457.3","","0.62%"
"12/19/2012","8,463.8","8,499.4","8,519.1","8,463.8","","-0.42%"
"12/18/2012","8,499.4","8,421.1","8,502.5","8,416.1","","1.10%"
"12/17/2012","8,407.0","8,346.6","8,408.2","8,346.6","","0.88%"
"12/14/2012","8,333.7","8,331.0","8,355.3","8,327.0","","-0.06%"
"12/13/2012","8,338.3","8,377.9","8,394.0","8,321.7","","-0.51%"
"12/12/2012","8,380.9","8,388.3","8,433.6","8,373.2","","0.17%"
"12/11/2012","8,366.5","8,342.7","8,392.1","8,342.7","","0.53%"
"12/10/2012","8,322.7","8,311.0","8,330.5","8,306.3","","0.10%"
"12/07/2012","8,314.3","8,294.6","8,314.4","8,271.3","","0.40%"
"12/06/2012","8,280.9","8,265.1","8,281.0","8,246.9","","0.19%"
"12/05/2012","8,264.8","8,234.6","8,292.3","8,205.3","","0.50%"
"12/04/2012","8,223.9","8,224.7","8,257.0","8,208.6","","0.00%"
"12/03/2012","8,223.5","8,260.4","8,298.2","8,219.0","","-0.45%"
"11/30/2012","8,260.4","8,254.2","8,273.4","8,235.2","","0.05%"
"11/29/2012","8,256.1","8,236.9","8,269.2","8,214.7","","0.59%"
"11/28/2012","8,207.4","8,113.7","8,208.4","8,074.2","","0.69%"
"11/27/2012","8,150.8","8,187.5","8,210.5","8,146.4","","-0.57%"
"11/26/2012","8,197.6","8,193.0","8,197.7","8,154.7","","-0.34%"
"11/23/2012","8,225.5","8,150.4","8,225.5","8,150.4","","1.40%"
"11/21/2012","8,112.2","8,095.1","8,112.9","8,080.6","","0.32%"
"11/20/2012","8,086.4","8,071.4","8,094.7","8,033.3","","0.08%"
"11/19/2012","8,080.3","8,002.2","8,080.3","8,002.2","","1.87%"
"11/16/2012","7,931.6","7,901.6","7,938.9","7,841.8","","0.44%"
"11/15/2012","7,896.9","7,905.3","7,942.4","7,865.7","","-0.08%"
"11/14/2012","7,903.4","8,026.0","8,049.5","7,887.3","","-1.49%"
"11/13/2012","8,023.2","8,017.2","8,096.7","8,004.4","","-0.38%"
"11/12/2012","8,054.1","8,066.5","8,067.9","8,052.1","","0.01%"
"11/09/2012","8,053.6","8,021.0","8,111.1","8,014.1","","0.03%"
"11/08/2012","8,050.8","8,137.2","8,167.9","8,050.8","","-1.08%"
"11/07/2012","8,138.8","8,242.1","8,242.1","8,098.9","","-2.09%"
"11/06/2012","8,312.4","8,240.2","8,329.2","8,240.2","","0.87%"
"11/05/2012","8,240.3","8,217.6","8,250.6","8,197.2","","0.07%"
"11/02/2012","8,234.9","8,335.4","8,339.8","8,229.4","","-0.92%"
"11/01/2012","8,311.4","8,231.7","8,311.7","8,231.7","","1.09%"
"10/31/2012","8,221.4","8,190.2","8,252.8","8,185.5","","0.38%"
