Date,Time,Fatalities,IsraelDate,IsraelTime
3/5/2006,02:13, 113 ,03/05/2006,05:13:00
9/7/2006,07:44, 125 ,09/07/2006,10:44:00
22/8/2006,15:39, 170 ,22/08/2006,16:39:00
29/9/2006,16:57, 0 ,30/09/2006,00:57:00
29/9/2006,16:57, 154 ,30/09/2006,00:57:00
29/10/2006,11:30, 96 ,29/10/2006,12:30:00
1/1/2007,14:59, 102 ,01/01/2007,09:59:00
5/5/2007,00:08, 114 ,05/05/2007,02:08:00
17/7/2007,18:54, 187 ,18/07/2007,02:54:00
16/9/2007,15:40, 90 ,16/09/2007,10:40:00
30/11/2007,01:36, 57 ,30/11/2007,01:36
20/8/2008,14:24, 154 ,20/08/2008,16:24:00
24/8/2008,20:45, 65 ,24/08/2008,17:45:00
14/9/2008,03:10, 88 ,14/09/2008,06:10:00
12/2/2009,22:17, 49 ,13/02/2009,10:17:00
20/5/2009,06:30, 97 ,20/05/2009,02:30:00
1/6/2009,00:14, 228 ,31/05/2009,21:14:00
30/6/2009,01:54, 152 ,30/06/2009,01:54:00
15/7/2009,11:53, 168 ,15/07/2009,10:23:00
25/1/2010,02:41, 90 ,25/01/2010,02:41:00
10/4/2010,10:41, 96 ,10/04/2010,13:41:00
12/5/2010,06:01, 103 ,12/05/2010,07:01:00
22/5/2010,06:05, 158 ,22/05/2010,13:05:00
28/7/2010,09:41, 152 ,28/07/2010,07:41:00
4/11/2010,17:51, 68 ,05/11/2010,00:51:00
9/1/2011,19:31, 78 ,09/01/2011,18:01:00
8/7/2011,15:11, 77 ,8/7/2011,15:11
26/7/2011,09:00, 80 ,26/07/2011,11:00:00
20/4/2012,18:40, 127 ,20/04/2012,16:40:00
3/6/2012,15:45, 153 ,03/06/2012,17:45:00
17/11/2013,19:23, 50 ,17/11/2013,21:23:00
11/2/2014,11:38, 76 ,11/02/2014,12:38:00
8/3/2014,08:11, 239 ,08/03/2014,04:11:00
17/7/2014,16:20, 298 ,17/07/2014,17:20:00
24/7/2014,01:47, 116 ,24/07/2014,04:47:00
28/12/2014,06:18, 162 ,28/12/2014,01:18:00
24/3/2015,10:41, 150 ,24/03/2015,11:41:00
30/6/2015,11:50, 122 ,30/06/2015,07:50:00
16/8/2015,14:55, 54 ,16/08/2015,10:55:00
31/10/2015,06:13, 224 ,31/10/2015,06:13:00
19/3/2016,03:42, 62 ,19/03/2016,05:42:00
19/5/2016,02:36, 66 ,19/5/2016,02:36
28/11/2016,21:58, 71 ,29/11/2016,04:58:00
25/12/2016,05:27, 92 ,25/12/2016,07:27:00
7/6/2017,13:35, 122 ,07/06/2017,10:35:00
11/2/2018,14:27, 71 ,11/02/2018,16:27:00
18/2/2018,09:32, 66 ,18/02/2018,08:02:00
12/3/2018,14:19, 51 ,12/03/2018,11:19:00
11/4/2018,08:00, 257 ,11/04/2018,10:00:00
18/5/2018,12:10, 112 ,18/05/2018,19:10:00
29/10/2018,06:30, 189 ,29/10/2018,01:30:00
10/3/2019,08:44, 157 ,10/03/2019,07:44:00
8/1/2020,06:18, 176 ,08/01/2020,04:48:00
22/5/2020,14:40, 97 ,22/05/2020,12:40:00
9/1/2021,14:40, 62 ,09/01/2021,09:40:00
4/7/2021,11:30, 50 ,04/07/2021,06:30:00
21/3/2022,06:22, 132 ,21/03/2022,00:22:00
15/1/2023,10:57, 72 ,15/01/2023,07:57:00
29/12/2024,09:05 LT, 179 ,09/08/2024,07:22:00
9/8/2024,c. 13:22 LT, 62 ,09/08/2024,21:22:00
