Date,Price,Open,High,Low,Change
28/01/2013,"8,880.00","8,911.70","8,911.70","8,858.20",-0.28%
25/01/2013,"8,904.50","8,882.50","8,904.60","8,860.80",0.54%
24/01/2013,"8,856.60","8,834.20","8,890.70","8,833.40",0.32%
23/01/2013,"8,828.70","8,824.20","8,834.90","8,801.90",-0.05%
22/01/2013,"8,832.80","8,784.80","8,832.90","8,765.80",0.46%
18/01/2013,"8,792.60","8,767.80","8,792.60","8,738.70",0.30%
17/01/2013,"8,766.50","8,735.30","8,787.50","8,732.80",0.64%
16/01/2013,"8,710.60","8,701.20","8,716.40","8,685.70",-0.26%
15/01/2013,"8,733.10","8,689.20","8,737.00","8,671.10",0.18%
14/01/2013,"8,717.50","8,715.20","8,721.90","8,688.60",0.06%
11/01/2013,"8,712.40","8,714.70","8,716.10","8,684.80",-0.02%
10/01/2013,"8,713.80","8,676.60","8,717.00","8,656.20",0.90%
09/01/2013,"8,636.10","8,624.00","8,653.10","8,618.70",0.37%
08/01/2013,"8,604.40","8,619.10","8,620.10","8,573.30",-0.38%
07/01/2013,"8,636.90","8,637.10","8,642.00","8,608.70",-0.36%
04/01/2013,"8,667.70","8,611.50","8,674.50","8,606.50",0.70%
03/01/2013,"8,607.80","8,615.70","8,647.60","8,588.50",-0.28%
02/01/2013,"8,632.00","8,571.50","8,632.00","8,571.10",2.23%
31/12/2012,"8,443.50","8,302.10","8,447.30","8,298.40",1.53%
28/12/2012,"8,316.20","8,359.30","8,380.70","8,311.30",-1.00%
27/12/2012,"8,399.80","8,407.10","8,427.00","8,317.50",0.05%
26/12/2012,"8,395.50","8,431.20","8,443.30","8,383.70",-0.30%
24/12/2012,"8,420.50","8,427.60","8,428.00","8,409.10",-0.27%
21/12/2012,"8,443.20","8,442.40","8,457.60","8,402.70",-0.86%
20/12/2012,"8,516.40","8,463.80","8,516.50","8,457.30",0.62%
19/12/2012,"8,463.80","8,499.40","8,519.10","8,463.80",-0.42%
18/12/2012,"8,499.40","8,421.10","8,502.50","8,416.10",1.10%
17/12/2012,"8,407.00","8,346.60","8,408.20","8,346.60",0.88%
14/12/2012,"8,333.70","8,331.00","8,355.30","8,327.00",-0.06%
13/12/2012,"8,338.30","8,377.90","8,394.00","8,321.70",-0.51%
12/12/2012,"8,380.90","8,388.30","8,433.60","8,373.20",0.17%
11/12/2012,"8,366.50","8,342.70","8,392.10","8,342.70",0.53%
10/12/2012,"8,322.70","8,311.00","8,330.50","8,306.30",0.10%
07/12/2012,"8,314.30","8,294.60","8,314.40","8,271.30",0.40%
06/12/2012,"8,280.90","8,265.10","8,281.00","8,246.90",0.19%
05/12/2012,"8,264.80","8,234.60","8,292.30","8,205.30",0.50%
04/12/2012,"8,223.90","8,224.70","8,257.00","8,208.60",0.00%
03/12/2012,"8,223.50","8,260.40","8,298.20","8,219.00",-0.45%
30/11/2012,"8,260.40","8,254.20","8,273.40","8,235.20",0.05%
29/11/2012,"8,256.10","8,236.90","8,269.20","8,214.70",0.59%
28/11/2012,"8,207.40","8,113.70","8,208.40","8,074.20",0.69%
27/11/2012,"8,150.80","8,187.50","8,210.50","8,146.40",-0.57%
26/11/2012,"8,197.60","8,193.00","8,197.70","8,154.70",-0.34%
23/11/2012,"8,225.50","8,150.40","8,225.50","8,150.40",1.40%
21/11/2012,"8,112.20","8,095.10","8,112.90","8,080.60",0.32%
20/11/2012,"8,086.40","8,071.40","8,094.70","8,033.30",0.08%
19/11/2012,"8,080.30","8,002.20","8,080.30","8,002.20",1.87%
16/11/2012,"7,931.60","7,901.60","7,938.90","7,841.80",0.44%
